# GYM-111 — free-exercise-db cross-map for KEEP (public canonical) exercises.
# Dataset: https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/dist/exercises.json
# License: free-exercise-db (yuhonas) — public domain (Unlicense).
# Generated by /tmp/crossmap.py (token-set + difflib seq ratio; weighted 0.7/0.3).
# confidence: high >=0.62, med >=0.45, low >=0.30, none <0.30.
# Columns: id <TAB> our_name <TAB> fxdb_name <TAB> equipment <TAB> primary_muscles <TAB> confidence <TAB> score
# Review action: verify low/none rows by hand; high/med are proposals only.
#
id	our_name	fxdb_name	equipment	primary_muscles	confidence	score
71	Ab Crunch Machine	Ab Crunch Machine	machine	abdominals	high	1.0
77	Incline Sit-Up	Sit-Up	body only	abdominals	high	0.643
38	Assisted Chin-Up	Chin-Up	body only	lats	high	0.647
345	Bent-Over Barbell Row	Bent Over Barbell Row	barbell	middle back	high	1.0
58	Barbell Shrug	Barbell Shrug	barbell	traps	high	1.0
3	Close-Grip Lat Pulldown	Close-Grip Front Lat Pulldown	cable	lats	high	0.827
34	One-Arm Dumbbell Row	One-Arm Dumbbell Row	dumbbell	middle back	high	1.0
76	Chest-Supported Dumbbell Row	Dumbbell Incline Row	dumbbell	middle back	low	0.433
348	Dumbbell Shrug	Dumbbell Shrug	dumbbell	traps	high	1.0
47	Iso-Lateral Front Lat Pulldown	Close-Grip Front Lat Pulldown	cable	lats	med	0.5
53	Machine Pullover	Front Raise And Pullover	barbell	chest	low	0.417
352	Back Extension	Machine Triceps Extension	machine	triceps	low	0.417
5	Iso-Lateral Low Row	Leverage Iso Row	machine	lats	low	0.4
35	Iso-Lateral Row	Leverage Iso Row	machine	lats	med	0.483
4	Lat Pulldown	One Arm Lat Pulldown	cable	lats	med	0.586
240	Neutral-Grip Lat Pulldown	Wide-Grip Lat Pulldown	cable	lats	high	0.654
33	Parallel-Grip Lat Pulldown	Wide-Grip Lat Pulldown	cable	lats	high	0.649
57	Cable Pullover	Cable Crossover	cable	chest	low	0.433
355	Pull-Up	Scapular Pull-Up		traps	high	0.647
147	Machine Row	Inverted Row		middle back	med	0.521
6	Seated Cable Row (Close Grip)	Seated Cable Rows	cable	middle back	med	0.47
37	Seated Cable Row (Neutral Grip)	Seated Cable Rows	cable	middle back	low	0.443
46	Seated Cable Row (Wide Grip)	Seated Cable Rows	cable	middle back	med	0.46
369	T-Bar Row	Lying T-Bar Row	machine	middle back	high	0.746
17	Wide-Grip Lat Pulldown	Wide-Grip Lat Pulldown	cable	lats	high	1.0
23	EZ-Bar Curl	EZ-Bar Curl	e-z curl bar	biceps	high	1.0
32	Barbell Curl	Barbell Curl	barbell	biceps	high	1.0
75	Cable Curl (Rope)	Cable Wrist Curl	cable	forearms	med	0.55
371	Dumbbell Curl (No Supination)	Dumbbell Lying Supination	dumbbell	forearms	med	0.535
11	Dumbbell Curl (Supinated)	Dumbbell Bicep Curl	dumbbell	biceps	med	0.539
363	Dumbbell Hammer Curl	Preacher Hammer Dumbbell Curl	dumbbell	biceps	high	0.689
10	Cross-Body Hammer Curl	Cross Body Hammer Curl	dumbbell	biceps	high	1.0
72	Dumbbell Preacher Curl	Preacher Curl	barbell	biceps	high	0.692
335	Machine Preacher Curl	Preacher Curl	barbell	biceps	high	0.932
127	Reverse Barbell Curl	Reverse Barbell Curl	barbell	biceps	high	1.0
7	Barbell Bench Press	Decline Barbell Bench Press	barbell	chest	high	0.774
20	Incline Barbell Bench Press	Decline Barbell Bench Press	barbell	chest	high	0.695
8	Incline Dumbbell Bench Press	Incline Dumbbell Press	dumbbell	chest	high	0.792
31	Incline Smith Machine Press	Smith Machine Incline Bench Press	machine	chest	high	0.717
54	Cable Chest Press (Machine)	Cable Chest Press	cable	chest	high	0.943
30	Dumbbell Bench Press	Dumbbell Bench Press	dumbbell	chest	high	1.0
44	Decline Chest Press (Machine)	Leverage Decline Chest Press	machine	chest	high	0.733
43	Flat Chest Press (Machine)	Leverage Chest Press	machine	chest	med	0.535
21	Incline Chest Press (Machine)	Incline Cable Chest Press	cable	chest	high	0.747
9	Low Cable Crossover	Low Cable Crossover	cable	chest	high	1.0
